customer_id,customer_name,amount,failure_reason,failed_at,retry_count,customer_tier
CUST1042,Arjun Kapoor,10455.09,expired_card,2026-07-14T21:40:54,2,high
CUST1034,Bhavna Patel,2160.35,card_declined,2026-08-24T16:10:03,1,low
CUST1011,Mohit Malhotra,5200.63,bank_timeout,2026-08-06T22:20:13,0,high
CUST1056,Nikhil Shah,11646.02,expired_card,2026-08-14T09:35:08,0,high
CUST1049,Simran Mehta,5187.99,insufficient_funds,2026-07-07T12:55:02,2,high
CUST1047,Divya Mehta,6398.71,card_declined,2026-08-25T13:39:47,1,high
CUST1055,Meera Reddy,7551.36,expired_card,2026-07-22T19:20:42,3,high
CUST1070,Yash Agarwal,16242.23,card_declined,2026-07-25T15:00:22,2,high
CUST1002,Jaya Sharma,10193.59,card_declined,2026-07-06T06:14:32,0,high
CUST9006,Ananya Malhotra,0.0,card_declined,2026-07-02T23:34:03,2,low
CUST1066,Kavya Nair,17581.8,bank_timeout,2026-07-31T14:16:48,2,high
CUST1053,Tanya Pillai,6284.06,bank_timeout,2026-07-28T19:32:07,2,high
CUST1010,Rahul Rao,12006.09,insufficient_funds,2026-08-19T01:14:52,2,high
CUST1029,Vikram Chaudhary,3545.32,bank_timeout,2026-07-30T07:55:59,0,low
CUST1019,Kavya Pillai,1384.1,bank_timeout,2026-08-23T09:15:03,3,low
CUST1058,Aman Chaudhary,5461.56,expired_card,2026-08-07T19:41:20,1,high
CUST1057,Gaurav Sharma,11856.64,bank_timeout,2026-08-09T18:19:25,3,high
CUST1050,Nisha Joshi,15090.9,insufficient_funds,2026-07-20T07:14:01,1,high
CUST1018,Jaya Rao,3703.81,insufficient_funds,2026-08-04T16:58:00,2,low
CUST1009,Tanya Nair,10534.46,card_declined,2026-08-16T07:10:29,0,high
CUST9005,Rohan Agarwal,12000.0,duplicate_charge,2026-07-18T13:16:53,0,high
CUST1006,Krish Iyer,21206.26,card_declined,2026-08-05T09:53:40,0,high
CUST1030,Tarun Mehta,2169.49,card_declined,2026-08-23T00:05:59,3,low
CUST1043,Ishaan Verma,4977.21,bank_timeout,2026-07-04T02:40:27,3,low
CUST1051,Bhavna Agarwal,6036.48,bank_timeout,2026-08-19T08:22:41,2,high
CUST1068,Divya Joshi,17432.43,expired_card,2026-07-10T07:24:44,0,high
CUST1036,Arjun Joshi,10725.4,card_declined,2026-08-07T18:33:20,1,high
CUST1067,Ishaan Rao,10864.22,bank_timeout,2026-07-05T22:18:15,0,high
CUST1012,Sarita Bhat,17142.85,bank_timeout,2026-07-10T08:08:15,1,high
CUST1065,Varun Bhat,19828.32,expired_card,2026-08-09T23:57:32,2,high
CUST1064,Gaurav Tiwari,18353.01,insufficient_funds,2026-07-09T14:42:33,0,high
CUST1032,Poonam Bhat,22195.56,card_declined,2026-08-20T14:18:27,0,high
CUST1027,Mohit Singh,7433.35,expired_card,2026-08-16T01:43:41,1,high
CUST1001,Om Bhat,1555.13,card_declined,2026-07-15T04:47:06,0,low
CUST1069,Shreya Agarwal,7301.12,card_declined,2026-07-30T13:03:13,0,high
CUST1071,Akash Mehta,9276.97,bank_timeout,2026-08-21T19:57:14,2,high
CUST1054,Falak Joshi,5025.41,insufficient_funds,2026-07-01T16:59:51,2,high
CUST1024,Vikram Kapoor,12493.71,card_declined,2026-07-05T01:55:21,0,high
CUST9002,Kunal Pillai,7999.0,already_refunded,2026-08-06T21:01:05,1,high
CUST1035,Hema Mehta,2508.53,insufficient_funds,2026-08-25T07:25:07,0,low
CUST1023,Siddharth Sharma,4627.02,insufficient_funds,2026-08-07T17:14:37,0,low
CUST1003,Ishaan Sharma,12670.0,insufficient_funds,2026-07-27T07:28:37,2,high
CUST9004,Arjun Agarwal,4999.0,duplicate_charge,2026-07-21T06:29:20,0,low
CUST1008,Riya Nair,5339.46,bank_timeout,2026-07-24T05:23:22,1,high
CUST1039,Roshni Bhat,19022.58,insufficient_funds,2026-07-16T11:18:10,2,high
CUST1063,Sneha Bhat,14108.6,card_declined,2026-08-21T22:33:29,0,high
CUST1062,Poonam Sharma,12720.61,insufficient_funds,2026-07-26T07:09:41,0,high
CUST1052,Rahul Singh,19296.55,expired_card,2026-07-17T05:37:16,0,high
CUST1007,Siddharth Singh,12423.93,insufficient_funds,2026-07-15T09:05:54,0,high
CUST1016,Aarav Nair,13869.83,expired_card,2026-07-19T13:10:29,0,high
CUST1041,Divya Nair,19282.15,card_declined,2026-07-08T03:47:35,0,high
CUST1045,Manav Pillai,3177.54,card_declined,2026-08-14T04:34:02,3,low
CUST1038,Bhavna Nair,7970.41,card_declined,2026-07-07T02:34:13,3,high
